country,state,city,year,month,population,population_density,ev_registrations,bev_registrations,phev_registrations,charging_stations,charging_points,latitude,longitude,ev_per_station,station_density,monthly_growth_pct,yoy_growth_pct,coverage_gap,demand_score,priority_score,infra_status,city_tier,ev_market_share_pct,bev_share_pct,ev_stock_city,adoption_stage
Norway,Oslo,Oslo,2021,1,702543.0,4855,481.0,393,88,6506.0,15745,59.9139,10.7522,23.16,9.26064,4.14,13.3,1.16,11.891,11.017,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,2,702543.0,4855,472.0,391,81,6506.0,15745,59.9139,10.7522,23.16,9.26064,-1.87,22.91,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,3,702543.0,4855,586.0,464,122,6506.0,15745,59.9139,10.7522,23.16,9.26064,24.15,19.93,1.16,19.895,19.021,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,4,702543.0,4855,583.0,464,119,6506.0,15745,59.9139,10.7522,23.16,9.26064,-0.51,14.08,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,5,702543.0,4855,598.0,492,106,6506.0,15745,59.9139,10.7522,23.16,9.26064,2.57,17.0,1.16,11.263,10.389,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,6,702543.0,4855,488.0,389,99,6506.0,15745,59.9139,10.7522,23.16,9.26064,-18.39,20.65,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,7,702543.0,4855,544.0,434,110,6506.0,15745,59.9139,10.7522,23.16,9.26064,11.48,21.1,1.16,14.827,13.953,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,8,702543.0,4855,517.0,419,98,6506.0,15745,59.9139,10.7522,23.16,9.26064,-4.96,15.41,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,9,702543.0,4855,566.0,482,84,6506.0,15745,59.9139,10.7522,23.16,9.26064,9.48,22.2,1.16,14.027,13.153,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,10,702543.0,4855,514.0,421,93,6506.0,15745,59.9139,10.7522,23.16,9.26064,-9.19,22.23,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,11,702543.0,4855,486.0,401,85,6506.0,15745,59.9139,10.7522,23.16,9.26064,-5.45,18.48,1.16,10.235,9.361,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2021,12,702543.0,4855,631.0,501,130,6506.0,15745,59.9139,10.7522,23.16,9.26064,29.84,13.76,1.16,22.171,21.297,Needs Attention,Tier 1,16.8,82.0,150650,Early Majority
Norway,Oslo,Oslo,2022,1,702543.0,4855,713.0,615,98,9550.0,22714,59.9139,10.7522,21.88,13.59347,13.0,48.23,0.0,14.923,14.049,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,2,702543.0,4855,553.0,470,83,9550.0,22714,59.9139,10.7522,21.88,13.59347,-22.44,17.16,0.0,9.723,8.849,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,3,702543.0,4855,781.0,660,121,9550.0,22714,59.9139,10.7522,21.88,13.59347,41.23,33.28,0.0,26.215,25.341,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,4,702543.0,4855,796.0,655,141,9550.0,22714,59.9139,10.7522,21.88,13.59347,1.92,36.54,0.0,10.491,9.617,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,5,702543.0,4855,753.0,614,139,9550.0,22714,59.9139,10.7522,21.88,13.59347,-5.4,25.92,0.0,9.723,8.849,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,6,702543.0,4855,779.0,685,94,9550.0,22714,59.9139,10.7522,21.88,13.59347,3.45,59.63,0.0,11.103,10.229,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,7,702543.0,4855,681.0,595,86,9550.0,22714,59.9139,10.7522,21.88,13.59347,-12.58,25.18,0.0,9.723,8.849,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,8,702543.0,4855,708.0,604,104,9550.0,22714,59.9139,10.7522,21.88,13.59347,3.96,36.94,0.0,11.307,10.433,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,9,702543.0,4855,729.0,633,96,9550.0,22714,59.9139,10.7522,21.88,13.59347,2.97,28.8,0.0,10.911,10.037,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,10,702543.0,4855,729.0,607,122,9550.0,22714,59.9139,10.7522,21.88,13.59347,0.0,41.83,0.0,9.723,8.849,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,11,702543.0,4855,744.0,602,142,9550.0,22714,59.9139,10.7522,21.88,13.59347,2.06,53.09,0.0,10.547,9.673,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2022,12,702543.0,4855,863.0,761,102,9550.0,22714,59.9139,10.7522,21.88,13.59347,15.99,36.77,0.0,16.119,15.245,Adequate,Tier 1,21.7,84.5,208955,Early Majority
Norway,Oslo,Oslo,2023,1,702543.0,4855,802.0,737,65,10256.0,24560,59.9139,10.7522,22.94,14.59839,-7.07,12.48,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,2,702543.0,4855,762.0,638,124,10256.0,24560,59.9139,10.7522,22.94,14.59839,-4.99,37.79,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,3,702543.0,4855,897.0,746,151,10256.0,24560,59.9139,10.7522,22.94,14.59839,17.72,14.85,0.94,17.235,16.361,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,4,702543.0,4855,868.0,780,88,10256.0,24560,59.9139,10.7522,22.94,14.59839,-3.23,9.05,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,5,702543.0,4855,758.0,633,125,10256.0,24560,59.9139,10.7522,22.94,14.59839,-12.67,0.66,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,6,702543.0,4855,845.0,763,82,10256.0,24560,59.9139,10.7522,22.94,14.59839,11.48,8.47,0.94,14.739,13.865,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,7,702543.0,4855,833.0,711,122,10256.0,24560,59.9139,10.7522,22.94,14.59839,-1.42,22.32,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,8,702543.0,4855,771.0,706,65,10256.0,24560,59.9139,10.7522,22.94,14.59839,-7.44,8.9,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,9,702543.0,4855,830.0,761,69,10256.0,24560,59.9139,10.7522,22.94,14.59839,7.65,13.85,0.94,13.207,12.333,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,10,702543.0,4855,760.0,634,126,10256.0,24560,59.9139,10.7522,22.94,14.59839,-8.43,4.25,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,11,702543.0,4855,950.0,796,154,10256.0,24560,59.9139,10.7522,22.94,14.59839,25.0,27.69,0.94,20.147,19.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2023,12,702543.0,4855,912.0,762,150,10256.0,24560,59.9139,10.7522,22.94,14.59839,-4.0,5.68,0.94,10.147,9.273,Needs Attention,Tier 1,26.2,87.0,235226,Early Majority
Norway,Oslo,Oslo,2024,1,702543.0,4855,1093.0,944,149,8824.0,29075,59.9139,10.7522,34.03,12.56009,19.85,36.28,12.03,22.523,21.649,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,2,702543.0,4855,879.0,801,78,8824.0,29075,59.9139,10.7522,34.03,12.56009,-19.58,15.35,12.03,14.583,13.709,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,3,702543.0,4855,1161.0,1026,135,8824.0,29075,59.9139,10.7522,34.03,12.56009,32.08,29.43,12.03,27.415,26.541,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,4,702543.0,4855,1026.0,882,144,8824.0,29075,59.9139,10.7522,34.03,12.56009,-11.63,18.2,12.03,14.583,13.709,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,5,702543.0,4855,969.0,869,100,8824.0,29075,59.9139,10.7522,34.03,12.56009,-5.56,27.84,12.03,14.583,13.709,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,6,702543.0,4855,1021.0,904,117,8824.0,29075,59.9139,10.7522,34.03,12.56009,5.37,20.83,12.03,16.731,15.857,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,7,702543.0,4855,1129.0,1019,110,8824.0,29075,59.9139,10.7522,34.03,12.56009,10.58,35.53,12.03,18.815,17.941,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,8,702543.0,4855,1212.0,1099,113,8824.0,29075,59.9139,10.7522,34.03,12.56009,7.35,57.2,12.03,17.523,16.649,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,9,702543.0,4855,945.0,872,73,8824.0,29075,59.9139,10.7522,34.03,12.56009,-22.03,13.86,12.03,14.583,13.709,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,10,702543.0,4855,1209.0,1077,132,8824.0,29075,59.9139,10.7522,34.03,12.56009,27.94,59.08,12.03,25.759,24.885,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,11,702543.0,4855,1135.0,1028,107,8824.0,29075,59.9139,10.7522,34.03,12.56009,-6.12,19.47,12.03,14.583,13.709,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2024,12,702543.0,4855,1282.0,1199,83,8824.0,29075,59.9139,10.7522,34.03,12.56009,12.95,40.57,12.03,19.763,18.889,Needs Attention,Tier 1,31.2,89.5,300265,Early Majority
Norway,Oslo,Oslo,2025,1,702543.0,4855,1108.0,1048,60,8863.0,30678,59.9139,10.7522,38.99,12.6156,-13.57,1.37,16.99,16.567,15.693,Needs Attention,Tier 1,35.8,92.0,345612,Late Majority
Norway,Oslo,Oslo,2025,2,702543.0,4855,960.0,894,66,8863.0,30678,59.9139,10.7522,38.99,12.6156,-13.36,9.22,16.99,16.567,15.693,Needs Attention,Tier 1,35.8,92.0,345612,Late Majority
Norway,Oslo,Oslo,2025,3,702543.0,4855,1124.0,1076,48,8863.0,30678,59.9139,10.7522,38.99,12.6156,17.08,-3.19,16.99,23.399,22.525,Needs Attention,Tier 1,35.8,92.0,345612,Late Majority
Norway,Oslo,Oslo,2025,4,702543.0,4855,1110.0,1055,55,8863.0,30678,59.9139,10.7522,38.99,12.6156,-1.25,8.19,16.99,16.567,15.693,Needs Attention,Tier 1,35.8,92.0,345612,Late Majority
